fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_ma_fast,best_ma_mid,best_ma_slow,best_rsi_short,best_rsi_cover,best_vol_min_pct,best_max_hold_bars,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,test_capacity_reject_entries,test_capacity_reject_exits,oos_equity_after_fold
0,1745236800000,1755302400000,1755316800000,1757030400000,7,30,52,62,42,0.8,24,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.0
1,1746964800000,1757030400000,1757044800000,1758758400000,10,30,60,58,46,0.4,48,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.0
2,1748692800000,1758758400000,1758772800000,1760486400000,10,30,52,66,42,0.8,48,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.0
3,1750420800000,1760486400000,1760500800000,1762214400000,7,20,60,62,38,1.2,48,-11.65,-1.13,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.0
4,1752148800000,1762214400000,1762228800000,1763942400000,7,30,60,66,38,0.4,96,-11.65,-1.13,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.0
5,1753876800000,1763942400000,1763956800000,1765670400000,7,20,52,58,38,1.2,96,-5.56,7.24,4.0,6.83,2,100.0,100.0,200.0,0,1,0,1.039995
6,1755604800000,1765670400000,1765684800000,1767398400000,7,20,52,62,38,1.2,96,2.97,5.87,0.0,0.0,0,0.0,0.0,0.0,1,1,0,1.039995
7,1757332800000,1767398400000,1767412800000,1769126400000,10,20,52,66,38,1.2,48,1.31,4.32,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.039995
8,1759060800000,1769126400000,1769140800000,1770854400000,10,30,52,58,38,1.2,96,2.53,17.11,0.0,0.0,0,0.0,0.0,0.0,1,2,0,1.039995
9,1760788800000,1770854400000,1770868800000,1772582400000,7,30,60,66,46,1.2,48,1.31,4.32,-2.96,11.45,1,0.0,100.0,33.33,3,0,6,1.009189
10,1762516800000,1772582400000,1772596800000,1774310400000,7,30,60,58,38,1.2,96,3.19,20.64,-0.13,10.11,1,0.0,50.0,20.0,6,1,10,1.007905
11,1764244800000,1774310400000,1774324800000,1776038400000,7,20,60,62,46,1.2,96,2.58,18.88,-0.45,5.48,1,0.0,100.0,33.33,3,0,6,1.003385
